packet{sock="0xffff88cdc5900000",saddr="20.200.245.247",sport="22",daddr="192.168.239.132",dport="42390",seq="1529375494",ack="2838427057",mac_time="0",ip_time="0",tran_time="0",http_info="-",rx="1"} 
packet{sock="0xffff88cdc5900000",saddr="192.168.239.132",sport="42390",daddr="20.200.245.247",dport="22",seq="2838428593",ack="1529376271",mac_time="0",ip_time="0",tran_time="0",http_info="-",rx="0"} 
packet{sock="0xffff88cdc5900000",saddr="20.200.245.247",sport="22",daddr="192.168.239.132",dport="42390",seq="1529376271",ack="2838428641",mac_time="0",ip_time="0",tran_time="0",http_info="-",rx="1"} 
packet{sock="0xffff88cdc5900000",saddr="192.168.239.132",sport="42390",daddr="20.200.245.247",dport="22",seq="2838428641",ack="1529376479",mac_time="0",ip_time="0",tran_time="0",http_info="-",rx="0"} 
packet{sock="0xffff88cdc5900000",saddr="192.168.239.132",sport="42390",daddr="20.200.245.247",dport="22",seq="2838428657",ack="1529376479",mac_time="0",ip_time="0",tran_time="0",http_info="-",rx="0"} 
packet{sock="0xffff88cdc5900000",saddr="20.200.245.247",sport="22",daddr="192.168.239.132",dport="42390",seq="1529376479",ack="2838428701",mac_time="0",ip_time="0",tran_time="0",http_info="-",rx="1"} 
packet{sock="0xffff88cdc5900000",saddr="20.200.245.247",sport="22",daddr="192.168.239.132",dport="42390",seq="1529377035",ack="2838428701",mac_time="0",ip_time="0",tran_time="0",http_info="-",rx="1"} 
packet{sock="0xffff88cdc5900000",saddr="192.168.239.132",sport="42390",daddr="20.200.245.247",dport="22",seq="2838428701",ack="1529377079",mac_time="0",ip_time="0",tran_time="0",http_info="-",rx="0"} 
packet{sock="0xffff88cdc5900000",saddr="20.200.245.247",sport="22",daddr="192.168.239.132",dport="42390",seq="1529377079",ack="2838428761",mac_time="0",ip_time="0",tran_time="0",http_info="-",rx="1"} 
packet{sock="0xffff88cdc5900000",saddr="192.168.239.132",sport="42390",daddr="20.200.245.247",dport="22",seq="2838428761",ack="1529377123",mac_time="0",ip_time="0",tran_time="0",http_info="-",rx="0"} 
packet{sock="0xffff88cdc5900000",saddr="20.200.245.247",sport="22",daddr="192.168.239.132",dport="42390",seq="1529377123",ack="2838429253",mac_time="0",ip_time="0",tran_time="0",http_info="-",rx="1"} 
packet{sock="0xffff88cdc5900000",saddr="192.168.239.132",sport="42390",daddr="20.200.245.247",dport="22",seq="2838429253",ack="1529377583",mac_time="0",ip_time="0",tran_time="0",http_info="-",rx="0"} 
packet{sock="0xffff88cdc5900000",saddr="20.200.245.247",sport="22",daddr="192.168.239.132",dport="42390",seq="1529377583",ack="2838430153",mac_time="0",ip_time="0",tran_time="0",http_info="-",rx="1"} 
packet{sock="0xffff88cdc5900000",saddr="192.168.239.132",sport="42390",daddr="20.200.245.247",dport="22",seq="2838430153",ack="1529378239",mac_time="0",ip_time="0",tran_time="0",http_info="-",rx="0"} 
packet{sock="0xffff88cdc5900000",saddr="20.200.245.247",sport="22",daddr="192.168.239.132",dport="42390",seq="1529378239",ack="2838430205",mac_time="0",ip_time="0",tran_time="0",http_info="-",rx="1"} 
packet{sock="0xffff88cdc5900000",saddr="192.168.239.132",sport="42390",daddr="20.200.245.247",dport="22",seq="2838430205",ack="1529378283",mac_time="0",ip_time="0",tran_time="0",http_info="-",rx="0"} 
packet{sock="0xffff88cdc5900000",saddr="20.200.245.247",sport="22",daddr="192.168.239.132",dport="42390",seq="1529378283",ack="2838431129",mac_time="0",ip_time="0",tran_time="0",http_info="-",rx="1"} 
packet{sock="0xffff88cdc5900000",saddr="20.200.245.247",sport="22",daddr="192.168.239.132",dport="42390",seq="1529378319",ack="2838431129",mac_time="0",ip_time="0",tran_time="0",http_info="-",rx="1"} 
packet{sock="0xffff88cdc5900000",saddr="192.168.239.132",sport="42390",daddr="20.200.245.247",dport="22",seq="2838431129",ack="1529378587",mac_time="0",ip_time="0",tran_time="0",http_info="-",rx="0"} 
packet{sock="0xffff88cdc5900000",saddr="20.200.245.247",sport="22",daddr="192.168.239.132",dport="42390",seq="1529378587",ack="2838431325",mac_time="0",ip_time="0",tran_time="0",http_info="-",rx="1"} 
packet{sock="0xffff88cdc5900000",saddr="20.200.245.247",sport="22",daddr="192.168.239.132",dport="42390",seq="1529378623",ack="2838431325",mac_time="0",ip_time="0",tran_time="0",http_info="-",rx="1"} 
packet{sock="0xffff88cdc5900000",saddr="192.168.239.132",sport="42390",daddr="20.200.245.247",dport="22",seq="2838431325",ack="1529378731",mac_time="0",ip_time="0",tran_time="0",http_info="-",rx="0"} 
packet{sock="0xffff88cdc5900000",saddr="192.168.239.132",sport="42390",daddr="20.200.245.247",dport="22",seq="2838431369",ack="1529378731",mac_time="0",ip_time="0",tran_time="0",http_info="-",rx="0"} 
packet{sock="0xffff88cdc5900000",saddr="20.200.245.247",sport="22",daddr="192.168.239.132",dport="42390",seq="1529378731",ack="2838431405",mac_time="0",ip_time="0",tran_time="0",http_info="-",rx="1"} 
packet{sock="0xffff88cdc5900000",saddr="192.168.239.132",sport="42390",daddr="20.200.245.247",dport="22",seq="2838431405",ack="1529378855",mac_time="0",ip_time="0",tran_time="0",http_info="-",rx="0"} 
packet{sock="0xffff88cdc5900000",saddr="192.168.239.132",sport="42390",daddr="20.200.245.247",dport="22",seq="2838431441",ack="1529378855",mac_time="0",ip_time="0",tran_time="0",http_info="-",rx="0"} 
packet{sock="0xffff88cdce290000",saddr="192.168.239.132",sport="53432",daddr="34.117.188.166",dport="443",seq="1113245938",ack="1879586415",mac_time="0",ip_time="0",tran_time="0",http_info="-",rx="0"} 
packet{sock="0xffff88cdce293600",saddr="192.168.239.132",sport="48560",daddr="34.160.144.191",dport="443",seq="2906469993",ack="1223313303",mac_time="0",ip_time="0",tran_time="0",http_info="-",rx="0"} 
packet{sock="0xffff88cdce290900",saddr="192.168.239.132",sport="53446",daddr="34.117.188.166",dport="443",seq="323004800",ack="866342910",mac_time="0",ip_time="0",tran_time="0",http_info="-",rx="0"} 
packet{sock="0xffff88cdce294800",saddr="192.168.239.132",sport="38690",daddr="34.107.221.82",dport="80",seq="3254829173",ack="258089479",mac_time="0",ip_time="0",tran_time="0",http_info="-",rx="0"} 
packet{sock="0xffff88cdce290000",saddr="34.117.188.166",sport="443",daddr="192.168.239.132",dport="53432",seq="1879586415",ack="1113246614",mac_time="0",ip_time="0",tran_time="0",http_info="-",rx="1"} 
packet{sock="0xffff88cdce290000",saddr="34.117.188.166",sport="443",daddr="192.168.239.132",dport="53432",seq="1879586415",ack="1113246614",mac_time="0",ip_time="0",tran_time="0",http_info="-",rx="1"} 
packet{sock="0xffff88cdce290000",saddr="34.117.188.166",sport="443",daddr="192.168.239.132",dport="53432",seq="1879586415",ack="1113246614",mac_time="0",ip_time="0",tran_time="0",http_info="-",rx="1"} 
packet{sock="0xffff88cdce290000",saddr="34.117.188.166",sport="443",daddr="192.168.239.132",dport="53432",seq="1879586415",ack="1113246614",mac_time="0",ip_time="0",tran_time="0",http_info="-",rx="1"} 
packet{sock="0xffff88cdce290000",saddr="34.117.188.166",sport="443",daddr="192.168.239.132",dport="53432",seq="1879586415",ack="1113246614",mac_time="0",ip_time="0",tran_time="0",http_info="-",rx="1"} 
packet{sock="0xffff88cdce290000",saddr="34.117.188.166",sport="443",daddr="192.168.239.132",dport="53432",seq="1879586415",ack="1113246614",mac_time="0",ip_time="0",tran_time="0",http_info="-",rx="1"} 
packet{sock="0xffff88cdc4880000",saddr="192.168.239.132",sport="47432",daddr="23.211.178.11",dport="80",seq="1341316996",ack="218970836",mac_time="0",ip_time="0",tran_time="0",http_info="-",rx="0"} 
packet{sock="0xffff88cdce293600",saddr="34.160.144.191",sport="443",daddr="192.168.239.132",dport="48560",seq="1223313303",ack="2906470209",mac_time="0",ip_time="0",tran_time="0",http_info="-",rx="1"} 
packet{sock="0xffff88cdce293600",saddr="34.160.144.191",sport="443",daddr="192.168.239.132",dport="48560",seq="1223313303",ack="2906470209",mac_time="0",ip_time="0",tran_time="0",http_info="-",rx="1"} 
packet{sock="0xffff88cdce293600",saddr="34.160.144.191",sport="443",daddr="192.168.239.132",dport="48560",seq="1223313303",ack="2906470209",mac_time="0",ip_time="0",tran_time="0",http_info="-",rx="1"} 
packet{sock="0xffff88cdce293600",saddr="34.160.144.191",sport="443",daddr="192.168.239.132",dport="48560",seq="1223313303",ack="2906470209",mac_time="0",ip_time="0",tran_time="0",http_info="-",rx="1"} 
packet{sock="0xffff88cdce293600",saddr="34.160.144.191",sport="443",daddr="192.168.239.132",dport="48560",seq="1223313303",ack="2906470209",mac_time="0",ip_time="0",tran_time="0",http_info="-",rx="1"} 
packet{sock="0xffff88cdce293600",saddr="34.160.144.191",sport="443",daddr="192.168.239.132",dport="48560",seq="1223313303",ack="2906470209",mac_time="0",ip_time="0",tran_time="0",http_info="-",rx="1"} 
packet{sock="0xffff88cdce293600",saddr="34.160.144.191",sport="443",daddr="192.168.239.132",dport="48560",seq="1223313303",ack="2906470209",mac_time="0",ip_time="0",tran_time="0",http_info="-",rx="1"} 
packet{sock="0xffff88cdce293600",saddr="34.160.144.191",sport="443",daddr="192.168.239.132",dport="48560",seq="1223313303",ack="2906470209",mac_time="0",ip_time="0",tran_time="0",http_info="-",rx="1"} 
packet{sock="0xffff88cdce293600",saddr="192.168.239.132",sport="48560",daddr="34.160.144.191",dport="443",seq="2906470209",ack="1223316321",mac_time="0",ip_time="0",tran_time="0",http_info="-",rx="0"} 
packet{sock="0xffff88cdce294800",saddr="34.107.221.82",sport="80",daddr="192.168.239.132",dport="38690",seq="258089479",ack="3254829466",mac_time="0",ip_time="0",tran_time="0",http_info="-",rx="1"} 
packet{sock="0xffff88cdce290900",saddr="34.117.188.166",sport="443",daddr="192.168.239.132",dport="53446",seq="866342910",ack="323005467",mac_time="0",ip_time="0",tran_time="0",http_info="-",rx="1"} 
packet{sock="0xffff88cdce290900",saddr="34.117.188.166",sport="443",daddr="192.168.239.132",dport="53446",seq="866342910",ack="323005467",mac_time="0",ip_time="0",tran_time="0",http_info="-",rx="1"} 
packet{sock="0xffff88cdce290900",saddr="34.117.188.166",sport="443",daddr="192.168.239.132",dport="53446",seq="866342910",ack="323005467",mac_time="0",ip_time="0",tran_time="0",http_info="-",rx="1"} 
packet{sock="0xffff88cdce290900",saddr="34.117.188.166",sport="443",daddr="192.168.239.132",dport="53446",seq="866342910",ack="323005467",mac_time="0",ip_time="0",tran_time="0",http_info="-",rx="1"} 
packet{sock="0xffff88cdce290900",saddr="34.117.188.166",sport="443",daddr="192.168.239.132",dport="53446",seq="866342910",ack="323005467",mac_time="0",ip_time="0",tran_time="0",http_info="-",rx="1"} 
packet{sock="0xffff88cdce290900",saddr="34.117.188.166",sport="443",daddr="192.168.239.132",dport="53446",seq="866342910",ack="323005467",mac_time="0",ip_time="0",tran_time="0",http_info="-",rx="1"} 
